Name,URL,About
EasyNovelAssistant,https://github.com/Zuntan03/EasyNovelAssistant,"AI,Novel"
Tartube,https://tartube.sourceforge.io/,Downloader
mpv,https://mpv.io/installation/,Movie
Visual Studio Code,https://code.visualstudio.com,Code
Blender,https://www.blender.org,CG
Effekseer,https://effekseer.github.io/jp,CG
TiXL (Tooll3),https://github.com/tixl3d/tixl,CG
MagicaVoxel,https://ephtracy.github.io,Voxel
Sweet Home 3D,https://www.sweethome3d.com/ja/,Builder
calibre,https://calibre-ebook.com/ja/download,Reader
